nome,id,post,fanPost,comments,likes,shares,commentsToOwnPost,commentsToOtherPost,fan
Wall Street Italia,132595830103271,5,0,24,189,189,0,0,56508
Lo Stato Sociale,245921705594,1,0,35,1844,287,0,0,89420
Gad Lerner,123840324301537,11,0,1769,3132,1843,0,0,135885
Mariastella Gelmini,303531599691398,1,0,27,310,53,0,0,79420
UdineToday,131006693676317,0,1,0,0,0,0,0,14999
Roberto Fico,747606955265173,2,0,254,4657,2499,0,0,63782
Francesco Amodeo,469803619746531,1,0,23,198,29,0,0,10389
Silvio Berlusconi,116716651695782,2,0,769,6118,1131,0,0,633121
la Repubblica,179618821150,5,0,1114,1862,592,0,0,1691837
Stefano Maullu,150618724962388,0,0,0,0,0,0,0,1435
il Post,111587468873716,0,0,0,0,0,0,0,145635
Rai3,143563942360060,0,0,0,0,0,0,0,91396
francesco storace,99296068005,0,0,0,0,0,0,0,57624
Corriere della Sera,284515247529,1,0,20,68,17,0,0,1293974
Giulio Cavalli,19784772755,1,0,22,442,257,0,0,32594
Zero81,161483127232425,1,0,1,3,0,0,0,6491
Briganti,302334778947,0,0,0,0,0,0,0,134599
Sandra Savino,157448251121952,0,0,0,0,0,0,0,874
rassegna.it,95118674590,1,0,15,43,23,0,0,21994
Tuttomercatoweb.com,168271766534476,0,2,0,0,0,0,0,218481
Pietro Grasso,535381589813435,2,0,203,1825,167,0,0,38130
NEW FREE ITALY,190281971020336,1,0,0,3,0,0,0,17435
CAFFEINA,367942909747,1,0,172,2863,1321,0,0,315024
Live Sicilia,89007218065,1,0,3,29,0,0,0,110769
Il Mattino,210639995470,11,0,700,2419,623,0,0,337674
La Repubblica XL,110550025628947,1,0,64,346,0,0,0,161728
Imprese a Cinque Stelle,646922722034552,10,0,60,1066,712,0,0,45307
Il Sole 24 ORE,38812693516,2,2,97,197,60,0,0,430975
Carlo Fidanza,104048831252,3,0,101,1083,608,0,0,21620
Paolo Gentiloni,395923447178449,1,0,19,77,35,0,0,11410
Forza Italia,172265396249029,18,0,591,9094,1235,0,0,72821
David Sassoli - pagina ufficiale,89537383411,1,0,46,268,24,0,0,27184
Sky TG24,215275341879427,8,0,748,846,111,0,0,251701
Movimento 5 Stelle Bastia Umbra,432961783482095,1,0,0,1,0,0,0,425
Manlio Di Stefano - M5S,152760598115408,2,0,33,491,210,0,0,11793
MoVimento 5 Stelle Sicilia,221238591258991,1,1,27,645,304,0,0,103848
Giulia Sarti,450542288341989,6,0,763,6794,5648,0,0,28361
Vanity Fair Italia,105902722763324,1,1,2,35,0,0,0,579741
Il Resto del Carlino,200174860861,0,1,0,0,0,0,0,66372
Lady Brian,36850927430,0,1,0,0,0,0,0,32845
COALIZIONE PER LA LEGALIZZAZIONE (legalizziamolacanapa.org),10150156950945445,1,0,11,220,93,0,0,46754
globalist.it,350554671460,1,0,11,7,0,0,0,41111
Oliviero Beha,119223394784188,1,0,16,189,30,0,0,35139
