nome,id,post,fanPost,comments,likes,shares,commentsToOwnPost,commentsToOtherPost,fan
Wall Street Italia,132595830103271,0,0,0,0,0,0,0,56510
Lo Stato Sociale,245921705594,0,0,0,0,0,0,0,89436
Gad Lerner,123840324301537,0,0,0,0,0,0,0,135885
Alessia Mosca,624616894252474,0,0,0,0,0,0,0,14936
Mariastella Gelmini,303531599691398,0,0,0,0,0,0,0,79421
UdineToday,131006693676317,0,0,0,0,0,0,0,15000
Roberto Fico,747606955265173,0,0,0,0,0,0,0,63789
Francesco Amodeo,469803619746531,0,0,0,0,0,0,0,10389
Silvio Berlusconi,116716651695782,0,0,0,0,0,0,0,633135
la Repubblica,179618821150,0,0,0,0,0,0,0,1691882
Stefano Maullu,150618724962388,0,0,0,0,0,0,0,1435
il Post,111587468873716,0,0,0,0,0,0,0,145640
francesco storace,99296068005,0,0,0,0,0,0,0,57624
Giulio Cavalli,19784772755,0,0,0,0,0,0,0,32594
Zero81,161483127232425,0,0,0,0,0,0,0,6491
Briganti,302334778947,0,0,0,0,0,0,0,134621
Sandra Savino,157448251121952,0,0,0,0,0,0,0,875
rassegna.it,95118674590,0,0,0,0,0,0,0,21994
Magdi Cristiano Allam,388981637826431,0,0,0,0,0,0,0,53245
Trio Medusa,61197119663,0,0,0,0,0,0,0,294887
Tuttomercatoweb.com,168271766534476,0,0,0,0,0,0,0,218498
Pietro Grasso,535381589813435,0,0,0,0,0,0,0,38130
CAFFEINA,367942909747,1,0,172,2863,1321,0,0,315307
Live Sicilia,89007218065,1,0,3,29,0,0,0,110770
Quotidiano.net,357256150240,0,1,0,0,0,0,0,83679
Il Mattino,210639995470,12,0,686,1655,656,0,0,337707
La Repubblica XL,110550025628947,1,0,64,346,0,0,0,161734
CONTROLACRISI,182863987398,1,0,0,6,1,0,0,40549
Imprese a Cinque Stelle,646922722034552,16,0,84,1606,944,0,0,45323
Il Sole 24 ORE,38812693516,2,5,97,197,60,0,0,430985
Asca Agenzia di Stampa,190973430938076,0,1,0,0,0,0,0,29860
Carlo Fidanza,104048831252,3,0,101,1083,608,0,0,21622
la Repubblica Milano,114184802023705,1,0,5,8,0,0,0,28665
Paolo Gentiloni,395923447178449,1,0,19,77,35,0,0,11410
Forza Italia,172265396249029,18,0,591,9091,1235,0,0,72830
David Sassoli - pagina ufficiale,89537383411,1,0,46,268,24,0,0,27186
Sky TG24,215275341879427,10,0,839,919,112,0,0,251706
Movimento 5 Stelle Bastia Umbra,432961783482095,1,0,0,1,0,0,0,425
Manlio Di Stefano - M5S,152760598115408,3,0,44,640,281,0,0,11792
MoVimento 5 Stelle Sicilia,221238591258991,1,1,27,645,304,0,0,103858
Giulia Sarti,450542288341989,6,0,763,6794,5648,0,0,28363
Vanity Fair Italia,105902722763324,1,1,2,35,0,0,0,579760
Il Resto del Carlino,200174860861,0,2,0,0,0,0,0,66375
